nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
7023,4,5,08 Jan 12,91,1,6,2010,7,,,1,,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,0,1,,1,1,0,,,2,2,1,1,12,3,1,1,2,,,,2,Sin nombre,3,3,2,15,4,2,Sin nombre,3,5,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,20,1,1,1,4,1,1,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,1,3,2,,1,1,0,0,1,1,1,1,2,2,1,2,,3,1,4,3,1,1,3,2,3,3,2,3,1,3,1,1,3,2,3,3,1,1,3,3,1,2,2,3,1,2,2,1,3,3,2,2,colonia,5,14,2,16,3,3,3,2,,1,1,12,2011,1,2,10,2,1,Sin nombre,3,5,2,33,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,15000,1,2,2,1,1,67,,11,2,8,,,,colonia,5,1,1,71,,9,2,colonia,5,8,,,,3,3,4,4,5,5,5,5,5,2,7,,2,2,1,1,1,3,1,3,1,1,1,1,1,1,3,3,3,1,1,10,10,1,10,10,10,10,10,10,10,10,5,10,10,1,10,10,10,10,10,5,10,10,10,3,3,4,2,2,2,4,2,10,3,1,10,10,10,10,5,5,3,9,2,4,4,4,4,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,9,2,9,9,2,9,2,2,9,2,2,9,2,2,9,2,2,9,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,2276
7024,5,5,06 Dec 11,91,2,1,1976,2,,,1,,4,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,0,0,1,,1,2,0,,,5,1,2,,,4,2,2,2,,,,1,luisa,1,5,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,,1,2,1,20,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,1,4,0,0,2,1,1,2,2,1,1,2,,3,4,ns_nc,3,1,2,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,3,1,3,3,1,1,3,3,3,1,,,,,,colonia,5,17,2,27,3,2,2,2,,1,1,20,2011,2,,ninguno,2,1,gregor,ns_nc,5,2,77,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,45000,1,1,2,1,1,77,,11,2,1,3,,,colonia,5,1,2,,80,1,2,colonia,5,3,,,,4,4,2,3,4,4,2,4,3,3,1,,3,2,1,1,1,3,,3,1,2,1,4,3,2,1,1,3,1,1,1,5,1,10,10,10,10,5,10,5,10,1,5,1,1,5,1,10,10,10,5,10,10,10,5,5,5,3,2,4,4,1,1,5,5,5,1,1,5,5,10,9,2,2,2,3,3,ns_nc,1,1,1,1,ns_nc,ns_nc,ns_nc,ns_nc,ns_nc,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,158,.89999998,2.4300001,2276
7025,2,5,12 Nov 11,24,2,1,2005,7,,,1,,1,4,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,0,0,2,13,,,,,,,,2,,,5,1,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,35,1,35,2,,2,,2,,2,,2,,1,2,2,,2,,2,,1,3,2,,2,,1,21,1,2,,ns_nc,720,,2,2,1,2,2,2,1,2,,2,5,5,3,3,1,3,3,1,1,2,3,3,ns_nc,1,2,3,3,3,2,3,3,2,1,3,3,3,1,1,3,2,1,3,8,0,3,colonia,5,34,2,17,8,8,8,2,,2,2,,,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,20000,1,2,2,1,1,74,,9,2,1,,,,colonia,5,2,,,,,,0,,,,,,3,5,3,,1,5,,,3,5,1,,1,2,ns_nc,2,2,1,1,2,1,1,1,3,ns_nc,2,ns_nc,ns_nc,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,1,10,10,10,1,1,6,ns_nc,1,4,4,3,10,10,ns_nc,10,10,1,10,1,1,4,9,9,5,4,5,15,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,20000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,152,.74000001,0,2276
7026,2,5,13 Nov 11,6,2,1,1993,2,,,1,,3,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,0,0,1,,1,ninguna,0,,,3,3,1,1,20,4,1,2,2,,,,3,malena,1,5,2,13,4,2,lina,1,5,2,14,4,2,leticia,2,2,2,14,4,2,,,,,,,,,,,,,,,1,2,1,3,1,3,1,2,1,5,2,,2,,2,,2,,1,2,1,3,2,,1,2,2,,2,,1,3,2,,2,,,,1,1,2,2,2,2,2,2,,3,1,1,1,2,1,2,3,1,1,1,1,3,2,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,2,1,,,,,,colonia,5,12,2,37,2,2,12,1,1,,,,,2,,ninguno,2,1,Sin nombre,4,5,1,60,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ns_nc,30000,1,1,1,1,1,89,,11,2,5,,,,colonia,5,1,2,,70,10,2,colonia,5,8,,,,3,3,3,1,1,1,1,5,3,1,1,,4,2,1,2,1,1,,1,1,2,2,3,1,2,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,1,5,5,5,10,5,10,10,10,1,10,10,10,5,5,5,2,4,2,4,2,1,1,9,10,1,1,10,1,1,4,2,3,5,5,9,15,2,1,1,1,2,2,2,2,1,4,2,2,2,2,4,4,2,2,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,2,9,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,154,.60000002,1.02,2276
7027,2,5,03 Dec 11,90,2,1,2000,2,,,1,,3,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,0,1,,1,1,2,1,,5,3,2,,,4,1,2,2,,,,1,evelyn,2,3,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,,1,2,2,,2,,ns_nc,,ns_nc,,ns_nc,,1,2,2,,2,,1,2,2,,1,1,2,,2,,,,1,2,1,1,2,2,2,2,,2,1,5,3,2,1,3,2,3,2,2,3,3,3,2,3,2,1,3,1,2,2,3,3,1,3,2,3,1,1,1,,,,,,colonia,5,12,2,30,2,2,2,2,,1,1,10,2010,1,3,ninguno,3,1,nery,1,5,2,50,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,21000,1,2,1,1,1,83,,5,2,1,3,,,colonia,5,1,2,,69,5,2,colonia,5,1,5,,,3,4,3,3,3,4,3,3,3,2,3,,5,2,1,1,1,7,7,8,1,1,1,4,1,2,1,1,1,1,1,10,10,10,1,1,1,1,2,1,1,1,2,ns_nc,1,1,1,10,1,1,1,ns_nc,1,1,1,7,9,8,3,1,1,2,2,8,5,5,10,10,10,10,8,1,4,1,1,4,4,1,4,1,1,1,1,2,2,2,2,ns_nc,4,4,4,4,4,4,4,4,4,4,1,1,4,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,162,1.2,2.1400001,3001
7028,5,5,15 Dec 11,90,2,1,1995,3,,,1,,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,0,1,,1,2,0,,,5,3,2,,,4,1,1,2,,,,1,Sin nombre,2,3,2,13,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,5,1,5,1,3,1,3,2,,2,,2,,2,,2,,1,2,2,,2,,2,,1,2,1,5,2,,2,,,,2,1,2,2,2,2,2,2,,3,5,1,3,1,1,3,1,2,3,1,1,1,3,1,1,3,3,3,3,1,1,3,3,1,1,1,1,3,1,1,,,,,,colonia,5,18,1,19,4,4,5,2,,1,1,8,2011,2,,ninguno,1,1,Sin nombre,3,5,1,61,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20000,2,2,2,1,2,,69,11,4,5,,,,colonia,5,1,2,,60,3,4,colonia,5,8,,,,4,4,4,4,4,5,ns_nc,5,3,5,1,,5,2,1,2,1,5,5,2,1,2,1,5,3,3,3,1,3,1,3,10,10,1,10,10,10,10,5,5,10,10,5,10,ns_nc,10,10,1,10,10,10,ns_nc,10,10,10,5,3,7,3,1,4,4,1,1,10,1,1,10,10,10,5,5,3,9,3,5,5,3,8,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,154,.23999999,-1.03,3001
7029,2,5,13 Nov 11,6,2,1,1951,10,,,1,,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,0,1,2,15,,,,,,,,2,,,4,1,2,2,,,,1,daniela,5,2,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,1,3,2,,1,3,1,3,1,2,2,,1,5,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,1,1,2,2,2,2,2,2,,3,1,5,2,3,2,2,3,2,2,1,2,3,2,2,1,2,3,2,2,1,2,2,1,2,1,2,2,3,3,1,,,,,,colonia,5,13,2,22,5,5,5,1,2,,,,,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,1,1,1,1,1,84,,11,2,8,,,,colonia,5,1,2,,68,8,2,0,,8,,,,5,3,1,1,2,4,1,3,4,5,2,,1,2,1,1,1,3,3,3,1,1,1,3,1,2,1,1,1,1,1,1,10,1,10,10,10,10,10,10,10,10,10,5,10,1,10,9,10,10,10,5,10,10,10,5,2,5,3,2,2,2,2,1,10,10,1,10,1,10,10,1,4,1,1,5,5,9,7,1,1,1,1,2,2,2,2,1,4,4,4,4,3,4,4,2,4,4,1,4,4,,,,,,,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,8000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,165,1.58,-1.0700001,3001
7030,2,5,11 Nov 11,6,2,1,2004,6,,,1,,9,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,0,0,1,,1,ninguna,0,,,2,2,1,1,1,4,1,2,2,,,,3,Sin nombre,1,5,2,13,4,2,Sin nombre,1,5,2,13,4,2,Sin nombre,1,5,2,13,4,2,,,,,,,,,,,,,,,1,2,1,4,1,4,2,,1,5,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,1,3,2,,2,,,,1,1,2,2,2,2,2,2,,3,4,5,1,2,2,1,2,2,2,2,3,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,3,3,1,,,,,,colonia,5,14,2,19,6,6,6,2,,1,1,20,2011,2,,ninguno,2,1,Sin nombre,3,5,2,55,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,11000,1,1,2,1,1,86,,9,2,5,,,,colonia,5,2,,,,,,0,,,,,,4,2,3,3,2,4,5,3,4,4,3,,5,2,2,ns_nc,1,4,2,3,1,2,1,3,3,2,1,1,1,1,1,10,10,6,9,9,9,10,10,8,10,9,3,9,9,3,10,10,10,5,10,10,10,10,10,5,5,5,2,1,1,4,1,2,8,2,10,3,3,8,1,1,3,9,5,5,5,9,9,1,1,1,1,2,2,2,2,2,4,4,3,4,4,4,4,3,4,4,2,4,4,,,,,,,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,12000,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,154,-.090000004,-.33000001,3001
7031,99,5,20 Dec 11,90,2,1,1974,2,,,1,,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,1,,1,1,5,1,,5,1,2,,,4,1,2,2,,,,1,Sin nombre,1,3,2,14,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,ns_nc,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,ns_nc,2,,2,,,,1,1,2,1,2,2,2,2,,3,1,5,3,1,1,3,1,2,1,1,3,1,3,1,3,1,1,1,3,1,1,3,3,1,2,1,3,3,1,1,,,,,,cerro largo,4,nunca_trabajó,,ns_nc,2,2,0,2,,1,1,,,2,,5,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3001
7032,2,5,12 Nov 11,6,2,1,2003,1,,,1,,3,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,0,0,1,,1,2,5,2,se durmio,5,3,2,,,4,1,1,2,,,,2,jazmin,2,3,2,14,4,2,cinthia,2,3,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,5,2,,1,2,1,2,2,,2,,1,2,2,,1,3,2,,1,2,2,,2,,1,1,2,,2,,,,1,1,2,2,2,2,2,2,,1,1,5,2,2,1,2,2,2,2,1,2,1,3,1,1,2,2,1,3,2,1,2,2,1,2,3,2,3,3,1,,,,,,salto,15,8,2,27,3,3,3,1,2,,,,,1,5,ninguno,2,1,josé,4,5,2,38,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,25000,1,1,2,1,1,80,,6,2,1,,,,salto,15,1,2,,64,6,2,salto,15,8,,,,4,5,4,3,2,4,5,5,5,5,2,,5,2,1,1,1,7,6,7,1,1,1,4,3,2,1,1,1,1,1,5,5,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,4,7,3,2,4,2,1,1,10,1,10,1,1,10,1,1,4,2,4,4,4,9,10,4,1,1,1,2,2,2,2,1,3,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,20000,10000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,155,.37,1.1799999,3001
7033,3,11,21 Sep 11,84,2,1,1994,10,,,1,,5,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,0,0,1,,1,2,4,1,,3,3,2,,,5,1,2,2,,,,5,dario,3,4,1,18,1,2,marcos,3,4,1,20,1,2,daiana,5,3,2,19,1,1,belen,5,3,2,14,1,2,marcos,3,4,1,17,4,2,1,1,1,5,1,3,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,,,2,1,2,2,2,2,2,2,,3,5,5,3,1,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,1,1,3,3,1,1,3,3,3,3,1,,,,,,paysandu,11,14,2,22,11,10,5,2,,2,2,,,2,,10,2,1,alicia,4,3,2,54,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,18000,2,2,1,1,1,75,,5,2,6,,,,salto,15,1,2,,75,9,2,salto,15,5,,,,5,5,1,5,5,5,1,5,1,5,2,,3,2,ns_nc,1,1,1,4,1,1,2,1,3,1,1,1,1,1,1,1,5,10,1,10,10,10,10,10,4,1,4,10,6,10,1,10,10,10,10,10,10,10,10,10,5,4,5,2,4,1,1,1,5,7,4,10,7,5,5,6,4,4,3,5,5,4,5,6,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,3,4,1,4,4,,,,,,,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,146,-.41,.93000001,2892
7038,2,11,19 Sep 11,82,2,1,1996,4,,,1,,3,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,0,1,,1,1,7,1,,4,1,1,1,4,4,1,2,1,5,5,apendicitis con gangr,3,Sin nombre,2,2,1,11,3,2,Sin nombre,2,2,1,17,3,1,Sin nombre,2,2,1,12,3,2,,,,,,,,,,,,,,,1,4,2,,1,30,2,,1,3,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,1,1,2,,2,,,,2,1,2,2,2,2,2,2,,3,5,4,3,1,1,3,3,3,2,1,3,1,3,3,3,3,1,1,2,1,1,3,ns_nc,1,ns_nc,3,3,2,1,1,,,,,,paysandu,11,26,1,26,10,10,9,2,,1,1,1,2010,2,,ninguno,1,2,Sin nombre,3,5,1,63,3,2,Sin nombre,3,5,1,28,3,2,,,,,,,,,,,,,,,,,,,,,,2,5,20000,1,2,1,2,,,,,,,,,,0,,2,,,,,,0,,,,,,4,3,3,5,3,5,3,3,3,3,3,,3,2,2,2,2,4,3,4,1,2,1,2,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,3,2,1,1,4,1,10,10,10,10,10,10,10,10,10,,5,4,9,3,5,9,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,144,-.40000001,2.3,2892
7039,3,11,21 Sep 11,84,2,1,2009,10,,,1,,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,0,2,13,,,,,,,,2,,,4,1,1,2,,,,5,rosa,3,1,2,ns_nc,1,2,maria estela,3,5,2,15,1,2,franco,5,2,1,16,1,2,alexis,5,2,1,17,1,2,alvaro,5,1,1,ns_nc,1,1,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,1,2,,4,1,5,1,3,2,1,3,3,1,1,1,3,2,3,3,2,3,3,1,3,3,2,1,1,3,3,1,3,1,2,1,3,7,0,4,paysandu,11,12,2,14,9,9,5,2,,1,1,1,2007,2,,20,2,4,judith,5,5,2,42,2,4,teresa,5,5,2,39,2,4,carmen,3,5,2,48,3,1,sonia,5,5,2,24,3,1,,,,,,,,1,5,20000,1,1,2,1,2,,48,5,2,1,,,,paysandu,11,1,2,,71,5,2,paysandu,11,8,,,,3,5,3,1,5,1,1,1,3,4,1,,1,2,ns_nc,1,1,5,3,9,1,2,1,3,1,2,1,1,1,1,1,10,10,1,10,10,10,10,7,10,5,10,1,10,10,1,10,10,10,10,10,3,10,10,10,5,5,6,2,4,1,4,3,8,5,4,10,6,6,5,5,5,3,9,4,5,4,5,6,1,1,1,1,2,2,2,2,1,4,3,4,2,4,4,4,3,2,4,1,2,4,,,,,,,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2892
7041,2,11,23 Nov 11,84,2,1,1994,2,,,1,,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,0,0,1,,1,2,2,1,,3,3,1,1,20,4,1,2,2,,,,3,guillermo,4,3,1,14,4,2,emiliano,4,3,1,14,4,2,renzo,3,5,1,14,4,2,,,,,,,,,,,,,,,1,1,1,1,1,3,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,2,5,1,2,1,1,3,3,1,2,2,3,1,3,2,1,3,3,1,3,3,3,1,1,1,3,1,ns_nc,3,2,2,1,3,2,2,2,paysandu,11,15,1,19,6,6,6,2,,1,1,3,2009,2,,ninguno,2,1,carolina,1,5,2,36,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8000,1,1,1,1,1,55,,5,3,8,,,,paysandu,11,1,1,55,,ns_nc,ns_nc,paysandu,11,1,,,,1,1,1,1,1,4,1,4,4,4,1,,5,1,1,1,ns_nc,5,5,5,1,2,2,2,2,1,2,1,1,1,1,5,10,1,10,10,10,10,7,10,5,10,1,1,10,1,10,10,10,10,10,8,10,10,10,1,3,6,3,2,1,4,1,1,1,9,10,10,10,10,5,5,4,3,3,5,5,5,5,1,1,1,1,2,2,2,2,1,2,3,3,2,3,4,2,2,3,4,2,2,1,8,,,2,,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,el niño en cuestion no aparece entre los miembros del hogar,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,2892
7042,3,11,05 Oct 11,84,2,1,1959,2,,,1,,3,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,0,1,,1,1,0,,,1,4,2,,,4,1,2,2,,,,2,Sin nombre,3,5,1,22,ns_nc,1,Sin nombre,3,5,1,14,3,2,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,1,1,1,1,2,,2,,2,,2,,2,,,,2,1,1,2,2,2,2,2,,5,3,4,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,1,3,2,1,3,3,3,2,1,3,7,0,4,paysandu,11,16,1,25,3,3,4,2,,1,1,2,2010,2,,ninguno,1,5,Sin nombre,3,5,2,,2,,Sin nombre,3,5,2,45,2,4,Sin nombre,3,5,2,36,2,4,Sin nombre,3,5,2,54,2,4,Sin nombre,3,5,2,35,2,4,1,5,7000,2,2,1,1,1,81,,11,2,8,,,,paysandu,11,1,2,,72,9,2,brasil,54,1,5,,,4,4,2,1,5,5,4,1,3,4,2,,4,2,2,1,1,6,6,4,1,2,2,3,3,2,1,1,1,1,1,1,5,3,8,9,2,10,1,9,1,2,10,5,10,1,5,10,10,10,10,1,10,10,10,1,1,5,3,1,2,2,3,6,5,4,10,7,5,5,4,4,4,3,9,5,5,4,8,1,1,1,1,2,2,2,2,1,3,4,3,4,4,4,3,3,4,4,1,4,4,,,,,,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1500,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,142,-1.4400001,2.3900001,2892
